instance,source,local,sha256,present,portable_candidate_local,portable_candidate_sha256,input_binding
astropy__astropy-13033,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13033/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13033/trajectory.json,ec7c2a182b64f3969cd420649a39332d8fdc4ca9db98ef9aa1302595738e3567,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-13033/trajectory.json,1ceaf1af1f1a7bc0d8594a52ae4af392d5eb1b22153858d51b5e3f0df26e754d,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-13236,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13236/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13236/trajectory.json,852eee12e04f91df6622c5d258f0664ba599f78f8f53ac53f45c497a45e3a93a,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-13236/trajectory.json,dedb1fe829ff3affe5ac425fb1b95a21062667b946cee7a2fc9f38723ed35ba5,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-13398,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13398/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13398/trajectory.json,16f9f5615872781c45f8446914aac3fa817c623841888429eaf1e77f930f1be0,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-13398/trajectory.json,d1a94158e1f0cb02821ebfb8ace67171e8a46a6f6d0676c0bcf9173bdb840e58,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-13453,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13453/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13453/trajectory.json,573c69763e24357f1b098cb9da02cb4aafbc0ee238fc93334a41340598e60fda,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-13453/trajectory.json,b0689099cb3f35ad09d377098ad6b9874407ae32e8b4eca080e46283b395cfea,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-13579,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13579/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-13579/trajectory.json,cef33695f3fb1a4b4d5d3aa227633df118d12c3e259757634e3d1c98f787e8d4,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-13579/trajectory.json,4e080b960f677271f7f2ec7b2fe0c71539ab3acf5d6da3a37f2ed92d222c290b,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-14182,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14182/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14182/trajectory.json,6a2ec43f998991f89b4f9e7f042f02da2d064fb40d66b76304d8600d29cadaa3,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-14182/trajectory.json,fdccb5940e1fccfc4c268cbf3f311d9da07e33b2c6bb5ada7f4192df89965499,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-14309,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14309/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14309/trajectory.json,34b2920fcb538ac971143a99b896006f56527984f3c15d16630f428544287d1e,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-14309/trajectory.json,24d1bf809cdf94146596d1119c247b1cfdf02d4017559a22c1f0809babfe33ff,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-14365,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14365/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-14365/trajectory.json,614851db294d211bf8ffd75f5d546d1a785707e1bf0d4f1f10e5c508446b3b19,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-14365/trajectory.json,4b11df3422d157dc1dc7a6f5bfb949182c68d986a4075ab9915d6ca4a29a92d5,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-6938,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-6938/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-6938/trajectory.json,6f1d5b3bf8ee1558b63f2c21ade43c221bdc1c310ffd038651528094e7138d05,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-6938/trajectory.json,5c05df8ca0ce9195e0ada02151d74e3b8f57817592f1a6b572cca1d155647374,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
astropy__astropy-7746,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-7746/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/astropy__astropy-7746/trajectory.json,1c820819bea5bdd29f76bc4865344203b1fe20ae713bc6fdf16acc566b11155c,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/astropy__astropy-7746/trajectory.json,bad56cccff3f88806eb4edafffd62d7db8d5b4bf72dcae6c9546f8caf9477563,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
